index,name,min_age,max_age,region,edu,edu_limit,job
66,청년취업 희망프로젝트,15,39,제주도,제한없음,제한없음,미취업자
67,청년 체인지업 프로젝트,18,34,전국,제한없음,제한없음,미취업자
68,청년 채용박람회 개최,0,100,경기도,제한없음,제한없음,미취업자
69,데이터 청년 캠퍼스(빅데이터 청년인재 양성 및 일자리 연계),0,100,전국,대학 졸업예정,제한없음,미취업자
69,데이터 청년 캠퍼스(빅데이터 청년인재 양성 및 일자리 연계),0,100,전국,대졸,제한없음,미취업자
70,고용친화기업 청년채용 지원사업,18,39,대구광역시,제한없음,제한없음,미취업자
71,전북형 청년내일채움공제 지원,15,34,전라북도,제한없음,제한없음,제한없음
72,지역상생 청년일자리사업,19,39,경상남도,제한없음,제한없음,미취업자
73,청년내일카드,18,39,충청남도,제한없음,제한없음,재직자
74,청년 활력 프로젝트,19,39,광주광역시,제한없음,제한없음,제한없음
75,대전일자리지원센터 운영,15,39,대전광역시,고교 재학,제한없음,미취업자
76,취업능력향상(행복오름) 프로그램 I,0,100,전국,제한없음,제한없음,미취업자
77,서구형 내일채움공제(신규),15,34,인천광역시,제한없음,제한없음,재직자
78,"지역인재육성사업(경남 평생학습형 일자리 지원사업, 인생코스별 전환 일자리 지원사업)",0,100,경상남도,제한없음,제한없음,제한없음
79,수원형 청년내일채움공제,0,34,경기도,제한없음,제한없음,미취업자
80,중소기업 정규직 프로젝트,19,39,경상북도,제한없음,제한없음,미취업자
81,청주시 일자리종합지원센터 운영,0,100,충청북도,제한없음,제한없음,제한없음
82,전북형 디지털 청년일자리 지원사업,18,39,전라북도,제한없음,제한없음,제한없음
83,제주시 지역주도형 청년일자리(수출기업 인력뱅크) 지원,18,39,제주도,제한없음,제한없음,미취업자
84,해외취업알선,0,100,전국,제한없음,제한없음,제한없음
85,디지털 청년일자리 육성 프로젝트,18,39,부산광역시,제한없음,제한없음,미취업자
86,대학생 국내인턴 사업,0,100,대구광역시,대학 재학,제한없음,미취업자
86,대학생 국내인턴 사업,0,100,대구광역시,대학 졸업예정,제한없음,미취업자
87,디지털 신기술 훈련(K-Digital training),0,75,전국,제한없음,제한없음,제한없음
88,(경남 창원시) 대학일자리센터 지원,15,34,경상남도,제한없음,제한없음,미취업자
89,청년해외취업 지원,18,34,부산광역시,제한없음,제한없음,미취업자
90,청년일자리 지역정착 지원사업,18,39,강원도,제한없음,제한없음,미취업자
91,SW마에스트로 과정(전문가 멘토링을 통한 최고급 SW인재 양성),0,100,전국,제한없음,제한없음,미취업자
92,"취업지원서비스(취업특강, 기업탐방단 등)",18,34,서울특별시,제한없음,제한없음,미취업자
93,파란일자리사업,18,39,부산광역시,제한없음,제한없음,미취업자
94,청년층 취업지원교육프로그램 운영,18,39,경기도,제한없음,제한없음,제한없음
95,동구 의료 클러스터 청년일자리 사업,0,39,대구광역시,제한없음,제한없음,미취업자
96,직업심리검사,0,100,전국,제한없음,제한없음,제한없음
97,한국 예술창작 아카데미,18,39,전국,제한없음,대학 재학,미취업자
98,미추홀구 제2단계 공공근로사업,18,39,인천광역시,제한없음,제한없음,미취업자
99,"(변경전)글로벌 청년리더 양성사업, (변경후)해외건설 현장훈련 지원사업",0,100,전국,제한없음,제한없음,재직자
100,청년지역일꾼 육성프로젝트,0,39,경상북도,제한없음,제한없음,미취업자
100,청년지역일꾼 육성프로젝트,0,39,경상북도,제한없음,제한없음,재직자
101,지역주도형 청년일자리,19,39,서울특별시,제한없음,제한없음,미취업자
103,(충북 충주시) 지역맞춤형 청년인력 양성,18,39,충청북도,고교 재학,제한없음,미취업자
103,(충북 충주시) 지역맞춤형 청년인력 양성,18,39,충청북도,대학 재학,제한없음,미취업자
104,고양 희망내일 공공일자리사업,18,100,경기도,제한없음,제한없음,미취업자
